2020-05-02,Apuane,Massa,2
2020-05-02,Piana di Lucca,Capannori,1
2020-05-02,Piana di Lucca,Lucca,1
2020-05-02,Zona Pisana,Calci,1
2020-05-02,Zona Pisana,Pisa,1
2020-05-02,Zona Pisana,San Giuliano Terme,1
2020-05-02,Bassa Val di Cecina Val di Cornia,Rosignano Marittimo,1
2020-05-02,Versilia,Stazzema,1
2020-05-02,Toscana,Toscana,105,0
