2020-04-01,Apuane,Carrara,,,,,
2020-04-01,Apuane,Massa,,,,,
2020-04-01,Apuane,Montignoso ,,,,,
2020-04-01,Lunigiana,Aulla ,,,,,
2020-04-01,Lunigiana,Bagnone,1,,,,
2020-04-01,Lunigiana,Filattiera,,,,,
2020-04-01,Lunigiana,Fivizzano,,,,,
2020-04-01,Lunigiana,Licciana Nardi,,,,,
2020-04-01,Lunigiana,Pontremoli ,,,,,
2020-04-01,Lunigiana,Villafranca in Lunigiana,,,,,
2020-04-01,Piana di Lucca,Lucca,1,,,,
2020-04-01,Valle del Serchio,Bagni di Lucca,,,,,
2020-04-01,Valle del Serchio,Barga,1,,,,
2020-04-01,Valle del Serchio,Borgo a Mozzano,,,,,
2020-04-01,Valle del Serchio,Gallicano ,,,,,
2020-04-01,Valle del Serchio,Molazzana ,,,,,
2020-04-01,Zona Pisana,Cascina,,,,,
2020-04-01,Zona Pisana,Pisa,,,,,
2020-04-01,Zona Pisana,San Giuliano Terme,,,,,
2020-04-01,Zona Pisana,Vicopisano,,,,,
2020-04-01,Zona Pisana,Riparbella,1,,,,
2020-04-01,Zona Pisana,Peccioli,1,,,,
2020-04-01,Zona Livornese,Collesalvetti ,,,,,
2020-04-01,Zona Livornese,Livorno ,,,,,
2020-04-01,Bassa Val di Cecina Val di Cornia,Campiglia Marittima ,,,,,
2020-04-01,Bassa Val di Cecina Val di Cornia,Cecina,,,,,
2020-04-01,Bassa Val di Cecina Val di Cornia,Piombino,,,,,
2020-04-01,Bassa Val di Cecina Val di Cornia,Rosignano,1,,,,
2020-04-01,Versilia,Camaiore,1,,,,
2020-04-01,Versilia,Forte dei Marmi ,,,,,
2020-04-01,Versilia,Massarosa,,,,,
2020-04-01,Versilia,Pietrasanta,1,,,,
2020-04-01,Versilia,Seravezza ,,,,,
2020-04-01,Versilia,Viareggio ,,,,,
2020-04-01,Toscana,Toscana,,19,22,,
