2020-04-13,Apuane,Carrara,,,,,
2020-04-13,Apuane,Massa,1,,,,
2020-04-13,Lunigiana,Fivizzano,1,,,,
2020-04-13,Lunigiana,Pontremoli,2,,,,
2020-04-13,Lunigiana,Aulla,1,,,,
2020-04-13,Lunigiana,Licciana Nardi,1,,,,
2020-04-13,Piana di Lucca,Capannori,1,,,,
2020-04-13,Piana di Lucca,Lucca,,,,,
2020-04-13,Piana di Lucca,Porcari,,,,,
2020-04-13,Piana di Lucca,Villa Basilica,1,,,,
2020-04-13,Valle del Serchio,Barga,,,,,
2020-04-13,Valle del Serchio,Pescaglia,,,,,
2020-04-13,Valle del Serchio,Castelnuovo Garfagnana,,,,,
2020-04-13,Valle del Serchio,Molazzana ,1,,,,
2020-04-13,Zona Pisana,Calci ,,,,,
2020-04-13,Zona Pisana,Cascina,,,,,
2020-04-13,Zona Pisana,Crespina Lorenzana,,,,,
2020-04-13,Zona Pisana,Pisa,1,,,,
2020-04-13,Zona Pisana,San Giuliano ,,,,,
2020-04-13,Zona Pisana,Vecchiano ,,,,,
2020-04-13,Alta Val di Cecina Val d'Era,Bientina,,,,,
2020-04-13,Alta Val di Cecina Val d'Era,Palaia,,,,,
2020-04-13,Alta Val di Cecina Val d'Era,Pomarance ,,,,,
2020-04-13,Alta Val di Cecina Val d'Era,Volterra,,,,,
2020-04-13,Alta Val di Cecina Val d'Era,Ponsacco ,1,,,,
2020-04-13,Zona Livornese,Livorno ,,,,,
2020-04-13,Bassa Val di Cecina Val di Cornia,Campiglia Marittima ,,,,,
2020-04-13,Bassa Val di Cecina Val di Cornia,Piombino,1,,,,
2020-04-13,Bassa Val di Cecina Val di Cornia,Rosignano Marittimo,,,,,
2020-04-13,Versilia,Camaiore,,,,,
2020-04-13,Versilia,Forte dei Marmi ,,,,,
2020-04-13,Versilia,Massarosa,,,,,
2020-04-13,Versilia,Pietrasanta,,,,,
2020-04-13,Versilia,Seravezza,,,,,
2020-04-13,Versilia,Viareggio ,,,,,
2020-04-13,Toscana,Toscana,,0,0,,
