2020-04-04,Apuane,Carrara,1,,,,
2020-04-04,Apuane,Massa,,,,,
2020-04-04,Lunigiana,Villafranca in Lunigiana,,,,,
2020-04-04,Lunigiana,Filattiera,1,,,,
2020-04-04,Lunigiana,Mulazzo,1,,,,
2020-04-04,Piana di Lucca,Capannori,1,,,,
2020-04-04,Piana di Lucca,Lucca,,,,,
2020-04-04,Valle del Serchio,Barga,,,,,
2020-04-04,Valle del Serchio,Coreglia Antelminelli,,,,,
2020-04-04,Valle del Serchio,Gallicano,,,,,
2020-04-04,Valle del Serchio,Minucciano,,,,,
2020-04-04,Valle del Serchio,Borgo a Mozzano,1,,,,
2020-04-04,Zona Pisana,Cascina,,,,,
2020-04-04,Zona Pisana,Pisa,,,,,
2020-04-04,Zona Pisana,San Giuliano Terme,,,,,
2020-04-04,Zona Livornese,Livorno,3,,,,
2020-04-04,Bassa Val di Cecina Val di Cornia,Piombino ,,,,,
2020-04-04,Versilia,Camaiore,,,,,
2020-04-04,Versilia,Pietrasanta ,1,,,,
2020-04-04,Versilia,Seravezza,,,,,
2020-04-04,Versilia,Viareggio ,,,,,
2020-04-04,Toscana,Toscana,,0,6,,
