2020-04-02,Apuane,Carrara,,,,,
2020-04-02,Apuane,Massa,,,,,
2020-04-02,Apuane,Montignoso,,,,,
2020-04-02,Lunigiana,Filattiera,,,,,
2020-04-02,Lunigiana,Fivizzano ,,,,,
2020-04-02,Lunigiana,Pontremoli ,,,,,
2020-04-02,Lunigiana,Villafranca in Lunigiana,,,,,
2020-04-02,Lunigiana,Zeri ,,,,,
2020-04-02,Piana di Lucca,Altopascio,,,,,
2020-04-02,Piana di Lucca,Capannori,1,,,,
2020-04-02,Piana di Lucca,Lucca,,,,,
2020-04-02,Piana di Lucca,Montecarlo ,,,,,
2020-04-02,Piana di Lucca,Porcari,,,,,
2020-04-02,Valle del Serchio,Bagni di Lucca,,,,,
2020-04-02,Valle del Serchio,Barga,,,,,
2020-04-02,Zona Pisana,Cascina ,,,,,
2020-04-02,Zona Pisana,Crespina Lorenzana,,,,,
2020-04-02,Zona Pisana,Pisa,2,,,,
2020-04-02,Zona Pisana,San Giuliano Terme,,,,,
2020-04-02,Zona Pisana,Vecchiano ,,,,,
2020-04-02,Alta Val di Cecina Val d'Era,Capannoli,,,,,
2020-04-02,Alta Val di Cecina Val d'Era,Palaia,,,,,
2020-04-02,Alta Val di Cecina Val d'Era,Peccioli,,,,,
2020-04-02,Alta Val di Cecina Val d'Era,Pontedera,,,,,
2020-04-02,Alta Val di Cecina Val d'Era,Santa Maria a Monte,,,,,
2020-04-02,Zona Livornese,Collesalvetti ,,,,,
2020-04-02,Zona Livornese,Livorno,,,,,
2020-04-02,Bassa Val di Cecina Val di Cornia,Guardistallo,,,,,
2020-04-02,Bassa Val di Cecina Val di Cornia,Rosignano,,,,,
2020-04-02,Versilia,Camaiore,,,,,
2020-04-02,Versilia,Pietrasanta,,,,,
2020-04-02,Versilia,Stazzema ,,,,,
2020-04-02,Versilia,Viareggio,1,,,,
2020-04-02,Toscana,Toscana,,6,5,,
