2020-04-08,Apuane,Carrara,,,,,
2020-04-08,Apuane,Massa,,,,,
2020-04-08,Apuane,Montignoso,,,,,
2020-04-08,Lunigiana,Aulla,,,,,
2020-04-08,Lunigiana,Casola in Lunigiana ,,,,,
2020-04-08,Lunigiana,Pontremoli,,,,,
2020-04-08,Lunigiana,Villafranca ,,,,,
2020-04-08,Lunigiana,Zeri,1,,,,
2020-04-08,Piana di Lucca,Altopascio ,,,,,
2020-04-08,Piana di Lucca,Lucca,,,,,
2020-04-08,Valle del Serchio,Barga ,,,,,
2020-04-08,Valle del Serchio,Piazza al Serchio,,,,,
2020-04-08,Valle del Serchio,Pieve Fosciana,,,,,
2020-04-08,Zona Pisana,Pisa,,,,,
2020-04-08,Zona Pisana,Vicopisano,,,,,
2020-04-08,Zona Pisana,San Giuliano Terme,,,,,
2020-04-08,Alta  Val di Cecina Val d'Era,Bientina,,,,,
2020-04-08,Alta  Val di Cecina Val d'Era,Casciana Terme Lari,,,,,
2020-04-08,Alta  Val di Cecina Val d'Era,Palaia,,,,,
2020-04-08,Alta  Val di Cecina Val d'Era,Peccioli,1,,,,
2020-04-08,Alta  Val di Cecina Val d'Era,Ponsacco ,,,,,
2020-04-08,Alta  Val di Cecina Val d'Era,Pontedera,,,,,
2020-04-08,Alta  Val di Cecina Val d'Era,Santa Maria a Monte,,,,,
2020-04-08,Alta  Val di Cecina Val d'Era,Terricciola,,,,,
2020-04-08,Zona Livornese,Collesalvetti ,,,,,
2020-04-08,Zona Livornese,Livorno,,,,,
2020-04-08,Bassa Val di Cecina Val di Cornia,Guardistallo,,,,,
2020-04-08,Bassa Val di Cecina Val di Cornia,Piombino,,,,,
2020-04-08,Bassa Val di Cecina Val di Cornia,Rosignano,,,,,
2020-04-08,Bassa Val di Cecina Val di Cornia,San Vincenzo,,,,,
2020-04-08,Versilia,Massarosa,,,,,
2020-04-08,Versilia,Pietrasanta,,,,,
2020-04-08,Versilia,Seravezza ,,,,,
2020-04-08,Versilia,Stazzema ,,,,,
2020-04-08,Versilia,Viareggio ,,,,,
2020-04-08,Toscana,Toscana,,0,2,,
