2020-04-12,Apuane,Carrara,6
2020-04-12,Apuane,Massa,17
2020-04-12,Lunigiana,Mulazzo,1
2020-04-12,Lunigiana,Tresana,1
2020-04-12,Lunigiana,Fivizzano,5
2020-04-12,Piana di Lucca,Capannori,1
2020-04-12,Piana di Lucca,Lucca,1
2020-04-12,Valle del Serchio,Barga,3
2020-04-12,Valle del Serchio,Castelnuovo Garfagnana,1
2020-04-12,Zona Pisana,Cascina,3
2020-04-12,Zona Pisana,Pisa,4
2020-04-12,Zona Pisana,San Giuliano Terme,4
2020-04-12,Zona Pisana,Vecchiano,1
2020-04-12,Alta Val di Cecina Val d'Era,Bientina,1
2020-04-12,Alta Val di Cecina Val d'Era,Capannoli,1
2020-04-12,Alta Val di Cecina Val d'Era,Peccioli,1
2020-04-12,Alta Val di Cecina Val d'Era,Pomarance,1
2020-04-12,Alta Val di Cecina Val d'Era,Ponsaco,1
2020-04-12,Alta Val di Cecina Val d'Era,Pontdera,1
2020-04-12,Zona Livornese,Collesalvetti,5
2020-04-12,Zona Livornese,Livorno,9
2020-04-12,Elba,Rio nell'Elba,1
2020-04-12,Bassa Val di Cecina Val di Cornia,Cecina,1
2020-04-12,Bassa Val di Cecina Val di Cornia,Piombino,1
2020-04-12,Bassa Val di Cecina Val di Cornia,Rosignano,3
2020-04-12,Versilia,Camaiore,2
2020-04-12,Versilia,Pietrasanta,2
2020-04-12,Versilia,Seravezza,1
2020-04-12,Versilia,Stazzema,1
2020-04-12,Versilia,Viareggio,7
