2020-03-15,Apuane,Carrara,9
2020-03-15,Apuane,Massa,6
2020-03-15,Lunigiana,Fivizzano,1
2020-03-15,Lunigiana,Pontremoli,3
2020-03-15,Lunigiana,Villafranca in Lunigiana,1
2020-03-15,Piana di Lucca,Altopascio,1
2020-03-15,Piana di Lucca,Capannori,3
2020-03-15,Piana di Lucca,Lucca,11
2020-03-15,Piana di Lucca,Montecarlo,1
2020-03-15,Piana di Lucca,Porcari,3
2020-03-15,Valle del Serchio,Barga,1
2020-03-15,Valle del Serchio,Borgo a Mozzano,1
2020-03-15,Valle del Serchio,Castelnuovo Garfagnana,5
2020-03-15,Valle del Serchio,Coreglia Antelminelli,2
2020-03-15,Valle del Serchio,Fabbriche di Vergemoli,1
2020-03-15,Valle del Serchio,Pieve Fosciana,1
2020-03-15,Zona Pisana,Cascina,3
2020-03-15,Zona Pisana,Pisa,12
2020-03-15,Zona Pisana,San Giuliano Terme,1
2020-03-15,Alta Val di Cecina Val d'Era,Bientina,1
2020-03-15,Alta Val di Cecina Val d'Era,Calci,1
2020-03-15,Alta Val di Cecina Val d'Era,Ponsacco,1
2020-03-15,Alta Val di Cecina Val d'Era,Santa Maria a Monte,3
2020-03-15,Alta Val di Cecina Val d'Era,Terricciola,1
2020-03-15,Alta Val di Cecina Val d'Era,Volterra,1
2020-03-15,Zona Livornese,Collesalvetti,1
2020-03-15,Zona Livornese,Livorno,4
2020-03-15,Zona Livornese,Piombino,5
2020-03-15,Bassa Val di Cecina Val di Cornia,Campiglia Marittima,2
2020-03-15,Bassa Val di Cecina Val di Cornia,Cecina,1
2020-03-15,Bassa Val di Cecina Val di Cornia,Rosignano Marittimo,1
2020-03-15,Versilia,Camaiore,3
2020-03-15,Versilia,Forte dei Marmi,3
2020-03-15,Versilia,Massarosa,1
2020-03-15,Versilia,Pietrasanta,6
2020-03-15,Versilia,Seravezza,4
2020-03-15,Versilia,Stazzema,2
2020-03-15,Versilia,Viareggio,3
