2020-04-20,Apuane,Carrara,	2
2020-04-20,Apuane,Massa,	7
2020-04-20,Lunigiana,Fivizzano,	2
2020-04-20,Piana di Lucca,Altopascio,	2
2020-04-20,Piana di Lucca,Capannori,	2
2020-04-20,Piana di Lucca,Lucca,	1
2020-04-20,Valle del Serchio,Gallicano,	2
2020-04-20,Zona Pisana,Calci,	1
2020-04-20,Zona Pisana,Cascina,	1
2020-04-20,Zona Pisana,Fauglia,	1
2020-04-20,Zona Pisana,Pisa,	1
2020-04-20,Zona Pisana,Vecchiano,	1
2020-04-20,Zona Pisana,Buti,	1
2020-04-20,Zona Pisana,Peccioli,	1
2020-04-20,Zona Pisana,Ponsacco,	1
2020-04-20,Zona Pisana,Pontedera,	1
2020-04-20,Zona Pisana,Santa Maria a Monte,	1
2020-04-20,Zona Pisana,Volterra,	2
2020-04-20,Zona Livornese,Livorno,	1
2020-04-20,Bassa Val di Cecina Val di Cornia,Cecina,	1
2020-04-20,Bassa Val di Cecina Val di Cornia,Montescudaio,	1
2020-04-20,Bassa Val di Cecina Val di Cornia,Piombino,	1
2020-04-20,Versilia,Camaiore,	1
2020-04-20,Versilia,Viareggio,	2
