2020-03-25,Apuane,Carrara,3
2020-03-25,Apuane,Massa,5
2020-03-25,Apuane,Montignoso,4
2020-03-25,Lunigiana,Aulla,1
2020-03-25,Lunigiana,Licciana Nardi,2
2020-03-25,Lunigiana,Pontremoli,3
2020-03-25,Lunigiana,Tresana,1
2020-03-25,Piana di Lucca,Altopascio,3
2020-03-25,Piana di Lucca,Capannori,10
2020-03-25,Piana di Lucca,Lucca,15
2020-03-25,Piana di Lucca,Montecarlo,1
2020-03-25,Piana di Lucca,Villa Basilica,1
2020-03-25,Valle del Serchio,Borgo a Mozzano,1
2020-03-25,Valle del Serchio,Castelnuovo Garfagnana,1
2020-03-25,Valle del Serchio,Piazza al Serchio,1
2020-03-25,Valle del Serchio,Pieve Fosciana,1
2020-03-25,Valle del Serchio,San Romano Garfagnana,2
2020-03-25,Zona Pisana,Cascina,1
2020-03-25,Zona Pisana,Pisa,10
2020-03-25,Zona Pisana,San Giuliano Terme,2
2020-03-25,Zona Pisana,Vecchiano,3
2020-03-25,Alta Val di Cecina Val d'Era,Calcinaia,2
2020-03-25,Alta Val di Cecina Val d'Era,Capannoli,3
2020-03-25,Alta Val di Cecina Val d'Era,Palia,1
2020-03-25,Alta Val di Cecina Val d'Era,Peccioli,1
2020-03-25,Alta Val di Cecina Val d'Era,Santa Maria a Monte,2
2020-03-25,Alta Val di Cecina Val d'Era,Volterra,2
2020-03-25,Alta Val di Cecina Val d'Era,Calcinaia,2
2020-03-25,Zona Livornese,Collesalvetti,2
2020-03-25,Zona Livornese,Livorno,3
2020-03-25,Elba,Portoferraio,1
2020-03-25,Bassa Val di Cecina Val di Cornia,Cecina,1
2020-03-25,Bassa Val di Cecina Val di Cornia,Riparbella,1
2020-03-25,Bassa Val di Cecina Val di Cornia,Rosignano,1
2020-03-25,Versilia,Camaiore,3
2020-03-25,Versilia,Forte dei Marmi,7
2020-03-25,Versilia,Massarosa,2
2020-03-25,Versilia,Pietrasanta,3
2020-03-25,Versilia,Seravezza,5
2020-03-25,Versilia,Viareggio,5
